Time,Life,SOC,slave_num,sum_volt,extsum_volt,current,avg_current,max_volt,max_volt_no,min_volt,min_volt_no,max_t,max_temp_no,min_t,min_temp_no,Bat_ErrCode,BatSYS_ErrCode,HD_ErrCode,Other_ErrCode,Total_in_AH,Total_out_AH,LifeA,sum_voltA,sum_currA,max_voltA,max_volt_noA,min_voltA,min_volt_noA,max_tA,max_temp_noA,min_tA,min_temp_noA,diff_VA,diff_TA,ErrorFlagA,BalanceA,sla_vnumA,sla_tnumA
8:30:11,0.000000,9.900000,2.000000,0.000000,0.500000,-0.900000,-0.500000,65.535000,0.000000,65.535000,0.000000,215.000000,0.000000,215.000000,0.000000,3C0000C000000000,0000000000000000,0080020300000000,000000000000000,0.022000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0,0.000000,0.000000
8:30:12,0.000000,9.900000,2.000000,0.000000,0.500000,-0.900000,-0.500000,65.535000,0.000000,65.535000,0.000000,215.000000,0.000000,215.000000,0.000000,3C0000C000000000,0000000000000000,0080020300000000,000000000000000,0.022000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0,0.000000,0.000000
8:30:13,0.000000,9.900000,2.000000,0.000000,0.500000,-0.900000,-0.500000,65.535000,0.000000,65.535000,0.000000,215.000000,0.000000,215.000000,0.000000,3C0000C000000000,0000000000000000,0080020300000000,000000000000000,0.022000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0,0.000000,0.000000
8:30:14,0.000000,9.900000,2.000000,0.000000,0.500000,-0.900000,-0.500000,65.535000,0.000000,65.535000,0.000000,215.000000,0.000000,215.000000,0.000000,3C0000C000000000,0000000000000000,0080020300000000,000000000000000,0.022000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0,0.000000,0.000000
8:30:15,0.000000,9.900000,2.000000,0.000000,0.500000,-0.900000,-0.500000,65.535000,0.000000,65.535000,0.000000,215.000000,0.000000,215.000000,0.000000,3C0000C000000000,0000000000000000,0080020300000000,000000000000000,0.022000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0,0.000000,0.000000
8:30:16,0.000000,9.900000,2.000000,0.000000,0.500000,-0.900000,-0.500000,65.535000,0.000000,65.535000,0.000000,215.000000,0.000000,215.000000,0.000000,3C0000C000000000,0000000000000000,0080020300000000,000000000000000,0.022000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0,0.000000,0.000000
8:30:17,0.000000,9.900000,2.000000,0.000000,0.500000,-0.900000,-0.500000,65.535000,0.000000,65.535000,0.000000,215.000000,0.000000,215.000000,0.000000,3C0000C000000000,0000000000000000,0080020300000000,000000000000000,0.022000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0,0.000000,0.000000
8:30:18,0.000000,9.900000,2.000000,0.000000,0.500000,-0.900000,-0.500000,65.535000,0.000000,65.535000,0.000000,215.000000,0.000000,215.000000,0.000000,3C0000C000000000,0000000000000000,0080020300000000,000000000000000,0.022000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0,0.000000,0.000000
8:30:19,0.000000,9.900000,2.000000,0.000000,0.500000,-0.900000,-0.500000,65.535000,0.000000,65.535000,0.000000,215.000000,0.000000,215.000000,0.000000,3C0000C000000000,0000000000000000,0080020300000000,000000000000000,0.022000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0,0.000000,0.000000
8:30:20,0.000000,9.900000,2.000000,0.000000,0.500000,-0.900000,-0.500000,65.535000,0.000000,65.535000,0.000000,215.000000,0.000000,215.000000,0.000000,3C0000C000000000,0000000000000000,0080020300000000,000000000000000,0.022000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0,0.000000,0.000000
