No.,BMStime,Life,SumV,SumVOut,Curr,SOC,SOH,MaxV,MaxVNo,MinV,MaxVNo,DiffV,MaxT,MaxTNo,MinT,MinTNo,DiffT,AvgCurr,ISO,POSRLYState,NEGRLYState,PRERLYState,CHGRLYState,FanRLYState,HeatRLYState,FanState,HeatState,MaxChgCurr,MaxDchCurr,ActCap,TotalInAh,TotalOutAh,ISORp,ISORN,AI1,AI2,DO1,DO2,DI1,DI2,DI3,DI4,LiquidSensrState,SriousFaultIntrfe,HVILState,MntncSwtchState,SmkeAlarmState,BatLockState,PrssSensrState,HumdSensrState,MnulMntncSwtch,CllsnState,HdErrcode,BatErrcode,BatsysErrcode,OtherErrcode,SlaveNum
1,2015-10-28 14:52:27,7,62.3,62.6,-71.4,100,99.9,3.247,53,3.2,1,0.047,193,12,11,11,182,-74.5,Normal,Off,Off,Off,On,Off,Off,Close,Close,0,0,0.999,60.852,0,0,0,0,0,0,0,1,1,1,1,Normal,Close,Normal,Normal,Normal,Normal,Rsv,Normal,Normal,Normal,0A00000300000000,3BF0333000000000,0000000000000000,000000000000000,10
2,2015-10-28 14:52:27,7,62.3,62.6,-71.4,100,99.9,3.247,53,3.2,1,0.047,193,12,11,11,182,-74.5,Normal,Off,Off,Off,On,Off,Off,Close,Close,0,0,0.999,60.852,0,0,0,0,0,0,0,1,1,1,1,Normal,Close,Normal,Normal,Normal,Normal,Rsv,Normal,Normal,Normal,0A00000300000000,3BF0333000000000,0000000000000000,000000000000000,10
3,2015-10-28 14:52:28,7,62.3,62.6,-74,100,99.9,3.247,53,3.2,1,0.047,193,12,11,11,182,-74.6,Normal,Off,Off,Off,On,Off,Off,Close,Close,0,0,0.999,60.874,0,0,0,0,0,0,0,1,1,1,1,Normal,Close,Normal,Normal,Normal,Normal,Rsv,Normal,Normal,Normal,0A00000300000000,3BF0333000000000,0000000000000000,000000000000000,10
4,2015-10-28 14:52:29,7,62.3,62.6,-73.9,100,99.9,3.247,53,3.2,1,0.047,193,12,11,11,182,-74.6,Normal,Off,Off,Off,On,Off,Off,Close,Close,0,0,0.999,60.919,0,0,0,0,0,0,0,1,1,1,1,Normal,Close,Normal,Normal,Normal,Normal,Rsv,Normal,Normal,Normal,0A00000300000000,3BF0333000000000,0000000000000000,000000000000000,10
5,2015-10-28 14:52:30,7,62.3,62.6,-74.4,100,99.9,3.247,53,3.2,1,0.047,193,12,11,11,182,-74.6,Normal,Off,Off,Off,On,Off,Off,Close,Close,0,0,0.999,60.919,0,0,0,0,0,0,0,1,1,1,1,Normal,Close,Normal,Normal,Normal,Normal,Rsv,Normal,Normal,Normal,0A00000300000000,3BF0333000000000,0000000000000000,000000000000000,10
6,2015-10-28 14:52:31,7,62.3,62.6,-75.3,100,99.9,3.247,53,3.2,1,0.047,193,12,11,11,182,-74.6,Normal,Off,Off,Off,On,Off,Off,Close,Close,0,0,0.999,60.941,0,0,0,0,0,0,0,1,1,1,1,Normal,Close,Normal,Normal,Normal,Normal,Rsv,Normal,Normal,Normal,0A00000300000000,3BF0333000000000,0000000000000000,000000000000000,10
7,2015-10-28 14:52:32,7,62.3,62.6,-72.8,100,99.9,3.247,53,3.2,1,0.047,193,12,11,11,182,-74.6,Normal,Off,Off,Off,On,Off,Off,Close,Close,0,0,0.999,60.985,0,0,0,0,0,0,0,1,1,1,1,Normal,Close,Normal,Normal,Normal,Normal,Rsv,Normal,Normal,Normal,0A00000300000000,3BF0333000000000,0000000000000000,000000000000000,10
8,2015-10-28 14:52:33,7,62.3,62.6,-73.2,100,99.9,3.247,53,3.2,1,0.047,193,12,11,11,182,-74.7,Normal,Off,Off,Off,On,Off,Off,Close,Close,0,0,0.999,60.985,0,0,0,0,0,0,0,1,1,1,1,Normal,Close,Normal,Normal,Normal,Normal,Rsv,Normal,Normal,Normal,0A00000300000000,3BF0333000000000,0000000000000000,000000000000000,10
9,2015-10-28 14:52:34,7,62.3,62.6,-73.7,100,99.9,3.247,53,3.2,1,0.047,193,12,11,11,182,-74.7,Normal,Off,Off,Off,On,Off,Off,Close,Close,0,0,0.999,61.008,0,0,0,0,0,0,0,1,1,1,1,Normal,Close,Normal,Normal,Normal,Normal,Rsv,Normal,Normal,Normal,0A00000300000000,3BF0333000000000,0000000000000000,000000000000000,10
10,2015-10-28 14:52:35,7,62.3,62.6,-74.2,100,99.9,3.247,53,3.2,1,0.047,193,12,11,11,182,-74.7,Normal,Off,Off,Off,On,Off,Off,Close,Close,0,0,0.999,61.052,0,0,0,0,0,0,0,1,1,1,1,Normal,Close,Normal,Normal,Normal,Normal,Rsv,Normal,Normal,Normal,0A00000300000000,3BF0333000000000,0000000000000000,000000000000000,10
