,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1T1,S1T2,S1T3,S1T4,S1T5,S1T6,S1T7,S1T8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40,-40,-40,-40,-40,-40,-40,-40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40,-40,-40,-40,-40,-40,-40,-40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40,-40,-40,-40,-40,-40,-40,-40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40,-40,-40,-40,-40,-40,-40,-40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40,-40,-40,-40,-40,-40,-40,-40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40,-40,-40,-40,-40,-40,-40,-40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40,-40,-40,-40,-40,-40,-40,-40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40,-40,-40,-40,-40,-40,-40,-40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40,-40,-40,-40,-40,-40,-40,-40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40,-40,-40,-40,-40,-40,-40,-40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40,-40,-40,-40,-40,-40,-40,-40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40,-40,-40,-40,-40,-40,-40,-40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40,-40,-40,-40,-40,-40,-40,-40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40,-40,-40,-40,-40,-40,-40,-40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40,-40,-40,-40,-40,-40,-40,-40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40,-40,-40,-40,-40,-40,-40,-40
