No.,BMStime,Life,SumV,SumVOut,Curr,SOC,SOH,MaxV,MaxVNo,MinV,MaxVNo,DiffV,MaxT,MaxTNo,MinT,MinTNo,DiffT,AvgCurr,ISO,POSRLYState,NEGRLYState,PRERLYState,CHGRLYState,FanRLYState,HeatRLYState,FanState,HeatState,MaxChgCurr,MaxDchCurr,ActCap,TotalInAh,TotalOutAh,ISORp,ISORN,HdErrcode,BatErrcode,BatsysErrcode,OtherErrcode,SlaveNum
1,2015-10-27 13:53:49,7,62.3,62.6,-263.5,59.6,100,3.247,108,3.2,1,0.047,27,1,20,20,7,-263.7,Normal,Off,Off,Off,Off,Off,Off,Close,Close,32,0,158.4,15.134,0,0,0,0A80020000000000,0C00000300000000,0000000000000000,000000000000000,3
2,2015-10-27 13:53:49,7,62.3,62.6,-263.5,59.6,100,3.247,108,3.2,1,0.047,27,1,20,20,7,-263.7,Normal,Off,Off,Off,Off,Off,Off,Close,Close,32,0,158.4,15.134,0,0,0,0A80020000000000,0C00000300000000,0000000000000000,000000000000000,3
3,2015-10-27 13:53:49,7,62.3,62.6,-263.5,59.6,100,3.247,108,3.2,1,0.047,27,1,20,20,7,-263.7,Normal,Off,Off,Off,Off,Off,Off,Close,Close,32,0,158.4,15.134,0,0,0,0A80020000000000,0C00000300000000,0000000000000000,000000000000000,3
4,2015-10-27 13:53:49,7,62.3,62.6,-263.5,59.6,100,3.247,108,3.2,1,0.047,27,1,20,20,7,-263.7,Normal,Off,Off,Off,Off,Off,Off,Close,Close,32,0,158.4,15.134,0,0,0,0A80020000000000,0C00000300000000,0000000000000000,000000000000000,3
5,2015-10-27 13:53:49,7,62.3,62.6,-263.5,59.6,100,3.247,108,3.2,1,0.047,27,1,20,20,7,-263.7,Normal,Off,Off,Off,Off,Off,Off,Close,Close,32,0,158.4,15.134,0,0,0,0A80020000000000,0C00000300000000,0000000000000000,000000000000000,3
6,2015-10-27 13:53:49,7,62.3,62.6,-263.5,59.6,100,3.247,108,3.2,1,0.047,27,1,20,20,7,-263.7,Normal,Off,Off,Off,Off,Off,Off,Close,Close,32,0,158.4,15.134,0,0,0,0A80020000000000,0C00000300000000,0000000000000000,000000000000000,3
7,2015-10-27 13:53:49,7,62.3,62.6,-263.5,59.6,100,3.247,108,3.2,1,0.047,27,1,20,20,7,-263.7,Normal,Off,Off,Off,Off,Off,Off,Close,Close,32,0,158.4,15.134,0,0,0,0A80020000000000,0C00000300000000,0000000000000000,000000000000000,3
8,2015-10-27 13:53:49,7,62.3,62.6,-263.5,59.6,100,3.247,108,3.2,1,0.047,27,1,20,20,7,-263.7,Normal,Off,Off,Off,Off,Off,Off,Close,Close,32,0,158.4,15.134,0,0,0,0A80020000000000,0C00000300000000,0000000000000000,000000000000000,3
9,2015-10-27 13:53:49,7,62.3,62.6,-263.5,59.6,100,3.247,108,3.2,1,0.047,27,1,20,20,7,-263.7,Normal,Off,Off,Off,Off,Off,Off,Close,Close,32,0,158.4,15.134,0,0,0,0A80020000000000,0C00000300000000,0000000000000000,000000000000000,3
10,2015-10-27 13:53:49,7,62.3,62.6,-263.5,59.6,100,3.247,108,3.2,1,0.047,27,1,20,20,7,-263.7,Normal,Off,Off,Off,Off,Off,Off,Close,Close,32,0,158.4,15.134,0,0,0,0A80020000000000,0C00000300000000,0000000000000000,000000000000000,3
11,2015-10-27 13:53:49,7,62.3,62.6,-263.5,59.6,100,3.247,108,3.2,1,0.047,27,1,20,20,7,-263.7,Normal,Off,Off,Off,Off,Off,Off,Close,Close,32,0,158.4,15.134,0,0,0,0A80020000000000,0C00000300000000,0000000000000000,000000000000000,3
12,2015-10-27 13:53:49,7,62.3,62.6,-263.5,59.6,100,3.247,108,3.2,1,0.047,27,1,20,20,7,-263.7,Normal,Off,Off,Off,Off,Off,Off,Close,Close,32,0,158.4,15.134,0,0,0,0A80020000000000,0C00000300000000,0000000000000000,000000000000000,3
13,2015-10-27 13:53:49,7,62.3,62.6,-263.5,59.6,100,3.247,108,3.2,1,0.047,27,1,20,20,7,-263.7,Normal,Off,Off,Off,Off,Off,Off,Close,Close,32,0,158.4,15.134,0,0,0,0A80020000000000,0C00000300000000,0000000000000000,000000000000000,3
14,2015-10-27 13:53:49,7,62.3,62.6,-263.5,59.6,100,3.247,108,3.2,1,0.047,27,1,20,20,7,-263.7,Normal,Off,Off,Off,Off,Off,Off,Close,Close,32,0,158.4,15.134,0,0,0,0A80020000000000,0C00000300000000,0000000000000000,000000000000000,3
15,2015-10-27 13:53:49,7,62.3,62.6,-263.5,59.6,100,3.247,108,3.2,1,0.047,27,1,20,20,7,-263.7,Normal,Off,Off,Off,Off,Off,Off,Close,Close,32,0,158.4,15.134,0,0,0,0A80020000000000,0C00000300000000,0000000000000000,000000000000000,3
